,Date (MST),Date (MPT),Asset Short Name,Asset Name,Asset Grouping,Volume,Maximum Capability,System Capability,Fuel Type,Sub Fuel Type,Planning Area,Region,Asset Utilization
0,2023-01-01 00:00:00,2023-01-01,AFG1,AFG1 APF Athabasca,AFG1,82.58612011379665,131.0,67.0,OTHER,Wood/Refuse,27,Northeast,0.6304283978152416
744,2023-01-01 00:00:00,2023-01-01,AKE1,AKE1 McBride Lake Windfarm,AKE1,44.94705726835463,73.0,73.0,WIND,WIND,53,South,0.6157131132651319
1488,2023-01-01 00:00:00,2023-01-01,ALP1,ALP1 Bantry,ALP1,6.610000133514404,7.0,7.0,GAS,SIMPLE_CYCLE,47,South,0.9442857333592006
2232,2023-01-01 00:00:00,2023-01-01,ALP2,ALP2 Parkland,ALP2,7.739999771118164,10.0,10.0,GAS,SIMPLE_CYCLE,49,South,0.7739999771118165
2976,2023-01-01 00:00:00,2023-01-01,ALS1,ALS1 Air Liquide Scotford #1,APS1,64.00555435816447,106.0,106.0,GAS,COGENERATION,33,Northeast,0.6038259845109856
3720,2023-01-01 00:00:00,2023-01-01,ANC1,ANC1 AB Newsprint,ANC1,63.40344489839342,63.0,63.0,GAS,SIMPLE_CYCLE,26,Northwest,1.0064038872760859
4464,2023-01-01 00:00:00,2023-01-01,APS1,APS1 Scotford Cogen,APS1,153.96855259365506,195.0,195.0,GAS,COGENERATION,33,Northeast,0.7895823209931029
5208,2023-01-01 00:00:00,2023-01-01,ARD1,ARD1 Ardenville,ARD1,64.38310998068916,68.0,68.0,WIND,WIND,53,South,0.9468104408924876
5952,2023-01-01 00:00:00,2023-01-01,BCR2,BCR2 Bear Creek Cogen Plant,BCR2,29.941104883617825,36.0,36.0,GAS,COGENERATION,20,Northwest,0.8316973578782729
6696,2023-01-01 00:00:00,2023-01-01,BCRK,BCRK Bear Creek Cogen,BCRK,63.51203918457031,64.0,64.0,GAS,COGENERATION,20,Northwest,0.9923756122589111
7440,2023-01-01 00:00:00,2023-01-01,BFD1,BFD1 Blackfalds,BFD1,2.9000000953674316,6.0,6.0,GAS,COGENERATION,35,Central,0.4833333492279053
8184,2023-01-01 00:00:00,2023-01-01,BHL1,BHL1 Bellshill,BHL1,4.200777586301168,5.0,5.4,GAS,SIMPLE_CYCLE,32,Central,0.8401555172602336
8928,2023-01-01 00:00:00,2023-01-01,BIG,BIG Bighorn Hydro,BIG,53.32952922185262,120.0,120.0,HYDRO,HYDRO,34,Central,0.44441274351543847
9672,2023-01-05 00:00:00,2023-01-05,BLS1,BLS1 Barlow Solar,BLS1,0.0,27.0,27.0,SOLAR,SOLAR,6,Calgary,0.0
10320,2023-01-01 00:00:00,2023-01-01,BON1,BON1 Bonnybrook,BON1,2.5999510288238525,10.0,4.8,OTHER,Gas,6,Calgary,0.25999510288238525
11064,2023-01-01 00:00:00,2023-01-01,BOW1,BOW1 Bow River Hydro,BOW1,62.7764902762572,320.0,320.0,HYDRO,HYDRO,44,South,0.19617653211330374
11808,2023-01-01 00:00:00,2023-01-01,BR4,BR4 Battle River #4,BR4,154.10294073316786,155.0,155.0,GAS,GAS_FIRED_STEAM,36,Central,0.9942125208591475
12552,2023-01-01 00:00:00,2023-01-01,BR5,BR5 Battle River #5,BR5,157.73788531833225,395.0,395.0,GAS,GAS_FIRED_STEAM,36,Central,0.3993364185274234
13296,2023-01-01 00:00:00,2023-01-01,BRA,BRA Brazeau Hydro,BRA,-6.7371847703721786,350.0,350.0,HYDRO,HYDRO,30,Central,-0.01924909934392051
14040,2023-01-01 00:00:00,2023-01-01,BRD1,BRD1 Burdett,BRD1,0.0,11.0,11.0,SOLAR,SOLAR,52,South,0.0
14784,2023-01-01 00:00:00,2023-01-01,BRK1,BRK1 Brooks Solar,BRK1,0.0,13.0,13.0,SOLAR,SOLAR,47,South,0.0
